PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Mullapudi, Edukondalu; Fuezik, Tibor; Pridal, Antonin; Plevka, Pavel								Cryo-electron Microscopy Study of the Genome Release of the Dicistrovirus Israeli Acute Bee Paralysis Virus								JOURNAL OF VIROLOGY				91	4					UNSP e02060	10.1128/JVI.02060-16			FEB 2017	2017										2							WOS:000393883300022		
J	Haddad, Nizar Jamal; Noureddine, Adjlane; Al-Shagour, Banan; Loucif-Ayad, Wahida; El-Niweiri, Mogbel A. A.; Anaswah, Eman; Abu Hammour, Wafaa; El-Obeid, Dany; Imad, Albaba; Shebl, Mohamed A.; Almaleky, Abdulhusien Sehen; Nasher, Abdullah; Walid, Nagara; Bergigui, Mohamed Fouad; Yanez, Orlando; de Miranda, Joachim R.								Distribution and variability of deformed wing virus of honeybees (Apis mellifera) in the Middle East and North Africa								INSECT SCIENCE				24	1			103	113		10.1111/1744-7917.12277			FEB 2017	2017										2							WOS:000393570300010		
J	D'Urso, Vera; Mazzeo, Gaetana; Vaccalluzzo, Valerio; Sabella, Giorgio; Bucchieri, Fabio; Viscuso, Renata; Vitale, Danilo G. M.								Observations on midgut of Apis mellifera workers (Hymenoptera: Apoidea) under controlled acute exposures to a Bacillus thuringiensis-based biopesticide								APIDOLOGIE				48	1			51	62		10.1007/s13592-016-0448-4			FEB 2017	2017										2							WOS:000392290500006		
J	Fine, Julia D.; Cox-Foster, Diana L.; Mullin, Christopher A.								An Inert Pesticide Adjuvant Synergizes Viral Pathogenicity and Mortality in Honey Bee Larvae								SCIENTIFIC REPORTS				7						40499	10.1038/srep40499			JAN 16 2017	2017										11							WOS:000391920400001		
J	Jeria, Yanara; Bazaes, Aliosha; Baez, Maria E.; Espinoza, Jeannette; Martinez, Jessica; Fuentes, Edwar								Photochemically induced fluorescence coupled to second-order multivariate calibration as analytical tool for determining imidacloprid in honeybees								CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS				160				1	7		10.1016/j.chemolab.2016.11.001			JAN 15 2017	2017										2							WOS:000392684100001		
J	Sedik, Peter; Horska, Elena								Impact of National Apiculture Programmes on Beekeeping Sector in Slovak Republic								MANAGERIAL TRENDS IN THE DEVELOPMENT OF ENTERPRISES IN GLOBALIZATION ERA								688	695					2017	2017						7th International Scientific Conference on Managerial Trends in the Development of Enterprises in Globalization Era (ICoM)	JUN 01-02, 2017	Slovak Univ Agr, Fac Econ & Management, Dept Management; Slovak Univ Agr, Fac Econ & Management, Dept Marketing & Trade; Czestochowa Univ Technol, Fac Management; Mendel Univ, Fac Business & Econ; Szent Istvan Univ, Fac Econ & Social Sci	Slovak Univ Agr, Nitra, SLOVAKIA	0							WOS:000426613300085		
J	Ugras, Serpil								Isolation, identification and characterization of probiotic properties of bacterium from the honey stomachs of Yigilca honeybees in Turkey								TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY				41	3			253	261		10.16970/ted.74860			2017	2017										0							WOS:000418508400001		
J	Vanegas, Maria								The Silent Beehive: How the Decline of Honey Bee Populations Shifted the Environmental Protection Agency's Pesticide Policy towards Pollinators								ECOLOGY LAW QUARTERLY				44	2			311	341		10.15779/Z38GQ6R199			2017	2017										3							WOS:000411913100006		
J	Myerscough, Mary R.; Khoury, David S.; Ronzani, Sean; Barron, Andrew B.								Why Do Hives Die? Using Mathematics to Solve the Problem of Honey Bee Colony Collapse								Mathematics for Industry				25				35	50		10.1007/978-981-10-0962-4_4			2017	2017						Forum on Math-for-Industry - Role and Importance of Mathematics in Innovation	OCT 26-30, 2015		Kyushu Univ, Ito Campus, Inst Math Ind, Fukuoka, JAPAN	0							WOS:000412563900004		
J	Tashakkori, Rahman; Hernandez, Nathaniel P.; Ghadiri, Ahmad; Ratzloff, Aleksander P.; Crawford, Michael B.			IEEE					A Honeybee Hive Monitoring System: From Surveillance Cameras to Raspberry Pis								IEEE SoutheastCon-Proceedings														2017	2017						IEEE SoutheastCon Conference	MAR 30-APR 02, 2017	IEEE	Charlotte, NC	0							WOS:000403420500107		
J	Valera, Francisco; Gomez-Moracho, Tamara; Yuan, Hsiao-Wei; Munoz, Irene; De la Rua, Pilar; Martin-Hernandez, Raquel; Chen, Ying-Lan; Higes, Mariano								Any role for the dissemination of Nosema spores by the blue-tailed bee-eater Merops philippinus?								JOURNAL OF APICULTURAL RESEARCH				56	3			262	269		10.1080/00218839.2017.1306375			2017	2017										0							WOS:000400162100010		
J	De Smet, Lina; Ravoet, Jorgen; Wenseleers, Tom; De Graaf, Dirk C.								Expression of key components of the RNAi machinery are suppressed in Apis mellifera that suffer a high virus infection								ENTOMOLOGICAL SCIENCE				20	1			76	85		10.1111/ens.12227			JAN-DEC 2017	2017										2							WOS:000396406800010		
J	Organtini, Lindsey J.; Shingler, Kristin L.; Ashley, Robert E.; Capaldi, Elizabeth A.; Durrani, Kulsoom; Dryden, Kelly A.; Makhov, Alexander M.; Conway, James F.; Pizzorno, Marie C.; Hafenstein, Susan								Honey Bee Deformed Wing Virus Structures Reveal that Conformational Changes Accompany Genome Release								JOURNAL OF VIROLOGY				91	2					UNSP e01795	10.1128/JVI.01795-16			JAN 2017	2017										4							WOS:000393192500021		
J	Gong, Youhui; Diao, Qingyun								Current knowledge of detoxification mechanisms of xenobiotic in honey bees								ECOTOXICOLOGY				26	1			1	12		10.1007/s10646-016-1742-7			JAN 2017	2017										6							WOS:000393028400001		
J	Gil-Lebrero, Sergio; Javier Quiles-Latorre, Francisco; Ortiz-Lopez, Manuel; Sanchez-Ruiz, Victor; Gamiz-Lopez, Victoria; Jesos Luna-Rodriguez, Juan								Honey Bee Colonies Remote Monitoring System								SENSORS				17	1					55	10.3390/s17010055			JAN 2017	2017										5							WOS:000393021000055		
J	Ding, G.; Fondevila, N.; Palacio, M. A.; Merke, J.; Martinez, A.; Camacho, B.; Aignasse, A.; Figini, E.; Rodriguez, G.; Lv, L.; Liu, Z.; Shi, W.								Prevalence of honeybee viruses in different regions of China and Argentina								REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES				35	3			825	833		10.20506/rst.35.3.2572			DEC 2016	2016										1							WOS:000396975300010		
J	Cappelle, Kaat; Smagghe, Guy; Dhaenens, Maarten; Meeus, Ivan								Israeli Acute Paralysis Virus Infection Leads to an Enhanced RNA Interference Response and Not Its Suppression in the Bumblebee Bombus terrestris								VIRUSES-BASEL				8	12					334	10.3390/v8120334			DEC 2016	2016										4							WOS:000392484600014		
J	Fratellone, Patrick M.; Fratellone, Gregory								Apitherapy Products for Medicinal Use								JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE				22	12			1020	1022		10.1089/acm.2015.0346			DEC 2016	2016										1							WOS:000391506900012		
J	Kiljanek, Tomasz; Niewladowska, Moja; Posyniak, Andrzej								PESTICIDE POISONING OF HONEYBEES: A REVIEW OF SYMPTOMS, INCIDENT CLASSIFICATION, AND CAUSES OF POISONING								JOURNAL OF APICULTURAL SCIENCE				60	2			5	24					DEC 2016	2016										4							WOS:000391357100001		
J	Blazyte-Cereskiene, Laima; Skrodenyte-Arbaciauskiene, Vesta; Radziute, Sandra; Nedveckyte, Irena; Buda, Vincas								HONEY BEE INFECTION CAUSED BY NOSEMA SPP. IN LITHUANIA								JOURNAL OF APICULTURAL SCIENCE				60	2			77	87		10.1515/jas-2016-0019			DEC 2016	2016										0							WOS:000391357100007		
J	Andino, Gladys K.; Gribskov, Michael; Anderson, Denis L.; Evans, Jay D.; Hunt, Greg J.								Differential gene expression in Varroa jacobsoni mites following a host shift to European honey bees (Apis mellifera)								BMC GENOMICS				17						926	10.1186/s12864-016-3130-3			NOV 16 2016	2016										3							WOS:000388133900004		
J	Polykretis, P.; Delfino, G.; Petrocelli, I.; Cervo, R.; Tanteri, G.; Montori, G.; Perito, B.; Branca, J. J. V.; Morucci, G.; Gulisano, M.								Evidence of immunocompetence reduction induced by cadmium exposure in honey bees (Apis mellifera)								ENVIRONMENTAL POLLUTION				218				826	834		10.1016/j.envpol.2016.08.006			NOV 2016	2016										3							WOS:000385596000088		
J	Plischuk, Santiago; Lange, Carlos E.								Bombus brasiliensis Lepeletier (Hymenoptera, Apidae) infected with Nosema ceranae (Microsporidia)								REVISTA BRASILEIRA DE ENTOMOLOGIA				60	4			347	351		10.1016/j.rbe.2016.06.00			OCT-DEC 2016	2016										5							WOS:000389567100013		
J	Trinder, Mark; McDowell, Tim W.; Daisley, Brendan A.; Ali, Sohrab N.; Leong, Hon S.; Sumarah, Mark W.; Reid, Gregor								Probiotic Lactobacillus rhamnosus Reduces Organophosphate Pesticide Absorption and Toxicity to Drosophila melanogaster								APPLIED AND ENVIRONMENTAL MICROBIOLOGY				82	20			6204	6213		10.1128/AEM.01510-16			OCT 2016	2016										9							WOS:000384439700013		
J	Di Pasquale, Garance; Alaux, Cedric; Le Conte, Yves; Odoux, Jean-Francois; Pioz, Maryline; Vaissiere, Bernard E.; Belzunces, Luc P.; Decourtye, Axel								Variations in the Availability of Pollen Resources Affect Honey Bee Health								PLOS ONE				11	9					e0162818	10.1371/journal.pone.0162818			SEP 15 2016	2016										11							WOS:000383706900082		
J	Santos, Joyce de Figueiro; Coelho, Flavio Codeco; Bliman, Pierre-Alexandre								Behavioral Modulation of Infestation by Varroa destructor in Bee Colonies. Implications for Colony Stability								PLOS ONE				11	9					e0160465	10.1371/journal.pone.0160465			SEP 1 2016	2016										2							WOS:000382855600006		
J	Mullapudi, Edukondalu; Pridal, Antonin; Palkova, Lenka; de Miranda, Joachim R.; Plevka, Pavel								Virion Structure of Israeli Acute Bee Paralysis Virus								JOURNAL OF VIROLOGY				90	18			8150	8159		10.1128/JVI.00854-16			SEP 2016	2016										3							WOS:000382314100011		
J	Higes, Mariano; Rodriguez-Garcia, Cristina; Gomez-Moracho, Tamara; Meana, Aranzazu; Bartolome, Carolina; Maside, Xulio; Barrios, Laura; Martin-Hernandez, Raquel								Survival of honey bees (Apis mellifera) infected with Crithidia mellificae spheroid forms (Langridge and McGhee: ATCC (R) 30254 (TM)) in the presence of Nosema ceranae								SPANISH JOURNAL OF AGRICULTURAL RESEARCH				14	3					UNSP e05SC02	10.5424/sjar/2016143-8722			SEP 2016	2016										2							WOS:000382573300009		
J	van den Heever, Johan P.; Thompson, Thomas S.; Otto, Simon J. G.; Curtis, Jonathan M.; Ibrahim, Abdullah; Pernal, Stephen F.								Evaluation of Fumagilin-B-A (R) and other potential alternative chemotherapies against Nosema ceranae-infected honeybees (Apis mellifera) in cage trial assays								APIDOLOGIE				47	5			617	630		10.1007/s13592-015-0409-3			SEP 2016	2016										3							WOS:000380700400001		
J	Adjlane, Noureddine; Dainat, Benjamin; Gauthier, Laurent; Dietemann, Vincent								Atypical viral and parasitic pattern in Algerian honey bee subspecies Apis mellifera intermissa and A-m. sahariensis								APIDOLOGIE				47	5			631	641		10.1007/s13592-015-0410-x			SEP 2016	2016										2							WOS:000380700400002		
J	van den Heever, Johan P.; Thompson, Thomas S.; Otto, Simon J. G.; Curtis, Jonathan M.; Ibrahim, Abdullah; Pernal, Stephen F.								The effect of dicyclohexylamine and fumagillin on Nosema ceranae-infected honey bee (Apis mellifera) mortality in cage trial assays								APIDOLOGIE				47	5			663	670		10.1007/s13592-015-0411-9			SEP 2016	2016										3							WOS:000380700400005		
J	Schwarz, Ryan S.; Moran, Nancy A.; Evans, Jay D.								Early gut colonizers shape parasite susceptibility and microbiota composition in honey bee workers								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				113	33			9345	9350		10.1073/pnas.1606631113			AUG 16 2016	2016										31							WOS:000381399200066		
J	Kakumanu, Madhavi L.; Reeves, Alison M.; Anderson, Troy D.; Rodrigues, Richard R.; Williams, Mark A.								Honey Bee Gut Microbiome Is Altered by In-Hive Pesticide Exposures								FRONTIERS IN MICROBIOLOGY				7						1255	10.3389/fmicb.2016.01255			AUG 16 2016	2016										18							WOS:000381365000001		
J	Aurori, Adriana C.; Bobis, Otilia; Dezmirean, Daniel S.; Marghitas, Liviu A.; Erler, Silvio								Bay laurel (Laurus nobilis) as potential antiviral treatment in naturally BQCV infected honeybees								VIRUS RESEARCH				222				29	33		10.1016/j.virusres.2016.05.024			AUG 15 2016	2016										0							WOS:000381537600004		
J	McMenamin, Alexander J.; Brutscher, Laura M.; Glenny, William; Flenniken, Michelle L.								Abiotic and biotic factors affecting the replication and pathogenicity of bee viruses								CURRENT OPINION IN INSECT SCIENCE				16				14	21		10.1016/j.cois.2016.04.009			AUG 2016	2016										11							WOS:000386405600005		
J	Wang, Haidong; Meeus, Ivan; Smagghe, Guy								Israeli acute paralysis virus associated paralysis symptoms, viral tissue distribution and Dicer-2 induction in bumblebee workers (Bombus terrestris)								JOURNAL OF GENERAL VIROLOGY				97				1981	1989		10.1099/jgv.0.000516			AUG 2016	2016										4							WOS:000385288500025		
J	Brutscher, Laura M.; McMenamin, Alexander J.; Flenniken, Michelle L.								The Buzz about Honey Bee Viruses								PLOS PATHOGENS				12	8					e1005757	10.1371/journal.ppat.1005757			AUG 2016	2016										12							WOS:000383376000013		
J	Kalynych, Sergei; Pridal, Antonin; Palkova, Lenka; Levdansky, Yevgen; de Miranda, Joachim R.; Plevka, Pavel								Virion Structure of Iflavirus Slow Bee Paralysis Virus at 2.6-Angstrom Resolution								JOURNAL OF VIROLOGY				90	16			7444	7455		10.1128/JVI.00680-16			AUG 2016	2016										6							WOS:000382306500033		
J	Shi, Rongwei; Liu, Fanglin								Quantum chemical study on the stability of honeybee queen pheromone against atmospheric factors								JOURNAL OF MOLECULAR MODELING				22	6					140	10.1007/s00894-016-2993-1			JUN 2016	2016										1							WOS:000377374500022		
J	Porrini, Claudio; Mutinelli, Franco; Bortolotti, Laura; Granato, Anna; Laurenson, Lynn; Roberts, Katherine; Gallina, Albino; Silvester, Nicholas; Medrzycki, Piotr; Renzi, Teresa; Sgolastra, Fabio; Lodesani, Marco								The Status of Honey Bee Health in Italy: Results from the Nationwide Bee Monitoring Network								PLOS ONE				11	5					e0155411	10.1371/journal.pone.0155411			MAY 16 2016	2016										19							WOS:000376279500036		
J	Soares Pires, Carmen Silvia; Pereira, Fabie de Mello; do Rego Lopes, Maria Teresa; Ferreira Nocelli, Roberta Cornelio; Malaspina, Osmar; Pettis, Jeffery Stuart; Teixeira, Erica Weinstein								Weakness and collapse of bee colonies in Brazil: are there cases of CCD?								PESQUISA AGROPECUARIA BRASILEIRA				51	5			422	442		10.1590/S0100-204X2016000500003			MAY 2016	2016										0							WOS:000383114600004		
J	Watson, Kelly; Stallins, J. Anthony								Honey Bees and Colony Collapse Disorder: A Pluralistic Reframing								GEOGRAPHY COMPASS				10	5			222	236		10.1111/gec3.12266			MAY 2016	2016										5							WOS:000376598600003		
J	Benvenuti, Stefano; Benelli, Giovanni; Desneux, Nicolas; Canale, Angelo								Long lasting summer flowerings of Lythrum salicaria as honeybee-friendly flower spots in Mediterranean basin agricultural wetlands								AQUATIC BOTANY				131				1	6		10.1016/j.aquabot.2016.02.002			MAY 2016	2016										2							WOS:000374919300001		
J	Kang, Yun; Blanco, Krystal; Davis, Talia; Wang, Ying; DeGrandi-Hoffman, Gloria								Disease dynamics of honeybees with Varroa destructor as parasite and virus vector								MATHEMATICAL BIOSCIENCES				275				71	92		10.1016/j.mbs.2016.02.012			MAY 2016	2016										5							WOS:000375169000008		
J	Bernardi, Sara; Venturino, Ezio								Viral epidemiology of the adult Apis Mellifera infested by the Varroa destructor mite								HELIYON				2	5					UNSP e00101	10.1016/j.heliyon.2016.e00101			MAY 2016	2016										2							WOS:000432007700012		
J	Melisa Garrido, Paula; Pablo Porrini, Martin; Antunez, Karina; Branchiccela, Belen; Astrid Martinez-Noel, Giselle Maria; Zunino, Pablo; Salerno, Graciela; Javier Eguaras, Martin; Ieno, Elena								Sublethal effects of acaricides and Nosema ceranae infection on immune related gene expression in honeybees								VETERINARY RESEARCH				47						51	10.1186/s13567-016-0335-z			APR 26 2016	2016										7							WOS:000374827000001		
J	Asenjo, Freddy; Olmos, Alejandro; Henriquez-Piskulich, Patricia; Polanco, Victor; Aldea, Patricia; Ugalde, Juan A.; Trombert, Annette N.								Genome sequencing and analysis of the first complete genome of Lactobacillus kunkeei strain MP2, an Apis mellifera gut isolate								PEERJ				4						e1950	10.7717/peerj.1950			APR 19 2016	2016										4							WOS:000374748300003		
J	Dolezal, Adam G.; Carrillo-Tripp, Jimena; Miller, W. Allen; Bonning, Bryony C.; Toth, Amy L.								Intensively Cultivated Landscape and Varroa Mite Infestation Are Associated with Reduced Honey Bee Nutritional State								PLOS ONE				11	4					e0153531	10.1371/journal.pone.0153531			APR 12 2016	2016										6							WOS:000373900700077		
J	Highland, Steven; James, R. R.								The Similarity and Appropriate Usage of Three Honey Bee (Hymenoptera: Apidae) Datasets for Longitudinal Studies								ENVIRONMENTAL ENTOMOLOGY				45	2			277	282		10.1093/ee/nvv227			APR 2016	2016										0							WOS:000376385000001		
J	Lawrence, T. J.; Culbert, E. M.; Felsot, A. S.; Hebert, V. R.; Sheppard, W. S.								Survey and Risk Assessment of Apis mellifera (Hymenoptera: Apidae) Exposure to Neonicotinoid Pesticides in Urban, Rural, and Agricultural Settings								JOURNAL OF ECONOMIC ENTOMOLOGY				109	2			520	528		10.1093/jee/tov397			APR 2016	2016										8							WOS:000374497000005		
J	Sanchez-Bayo, Francisco; Goulson, Dave; Pennacchio, Francesco; Nazzi, Francesco; Goka, Koichi; Desneux, Nicolas								Are bee diseases linked to pesticides? - A brief review								ENVIRONMENT INTERNATIONAL				89-90				7	11		10.1016/j.envint.2016.01.009			APR-MAY 2016	2016										90							WOS:000374603900002		
J	Stentiford, G. D.; Becnel, J. J.; Weiss, L. M.; Keeling, P. J.; Didier, E. S.; Williams, B. A. P.; Bjornson, S.; Kent, M. L.; Freeman, M. A.; Brown, M. J. F.; Troemel, E. R.; Roesel, K.; Sokolova, Y.; Snowden, K. F.; Solter, L.								Microsporidia - Emergent Pathogens in the Global Food Chain								TRENDS IN PARASITOLOGY				32	4			336	348		10.1016/j.pt.2015.12.004			APR 2016	2016										32							WOS:000374610200010		
J	Charbonneau, Lise R.; Hillier, Neil Kirk; Rogers, Richard E. L.; Williams, Geoffrey R.; Shutler, Dave								Effects of Nosema apis, N. ceranae, and coinfections on honey bee (Apis mellifera) learning and memory								SCIENTIFIC REPORTS				6						22626	10.1038/srep22626			MAR 10 2016	2016										6							WOS:000371682800001		
J	Thom, Matthew D.; Eberle, Carrie A.; Forcella, Frank; Gesch, Russ; Weyers, Sharon; Lundgren, Jonathan G.								Nectar Production in Oilseeds: Food for Pollinators in an Agricultural Landscape								CROP SCIENCE				56	2			727	739		10.2135/cropsci2015.05.0322			MAR-APR 2016	2016										10							WOS:000377715300022		
J	Engel, Philipp; Kwong, Waldan K.; McFrederick, Quinn; Anderson, Kirk E.; Barribeau, Seth Michael; Chandler, James Angus; Cornman, R. Scott; Dainat, Jacques; de Miranda, Joachim R.; Doublet, Vincent; Emery, Olivier; Evans, Jay D.; Farinelli, Laurent; Flenniken, Michelle L.; Granberg, Fredrik; Grasis, Juris A.; Gauthier, Laurent; Hayer, Juliette; Koch, Hauke; Kocher, Sarah; Martinson, Vincent G.; Moran, Nancy; Munoz-Torres, Monica; Newton, Irene; Paxton, Robert J.; Powell, Eli; Sadd, Ben M.; Schmid-Hempel, Paul; Schmid-Hempel, Regula; Song, Se Jin; Schwarz, Ryan S.; vanengelsdorp, Dennis; Dainat, Benjamin								The Bee Microbiome: Impact on Bee Health and Model for Evolution and Ecology of Host-Microbe Interactions								MBIO				7	2					e02164	10.1128/mBio.02164-15			MAR-APR 2016	2016										39							WOS:000377768700029		
J	Cizelj, Ivanka; Glavan, Gordana; Bozic, Janko; Oven, Irena; Mrak, Vesna; Narat, Mojca								Prochloraz and coumaphos induce different gene expression patterns in three developmental stages of the Carniolan honey bee (Apis mellifera carnica Pollmann)								PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY				128				68	75		10.1016/j.pestbp.2015.09.015			MAR 2016	2016										5							WOS:000372679700010		
J	Niu, Jinzhi; Smagghe, Guy; De Coninck, Dieter I. M.; Van Nieuwerburgh, Filip; Deforce, Dieter; Meeus, Ivan								In vivo study of Dicer-2-mediated immune response of the small interfering RNA pathway upon systemic infections of virulent and avirulent viruses in Bombus terrestris								INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY				70				127	137		10.1016/j.ibmb.2015.12.006			MAR 2016	2016										16							WOS:000371938100013		
J	Gregorc, Ales; Silva-Zacarin, Elaine C. M.; Carvalho, Stephan Malfitano; Kramberger, Doris; Teixeira, Erica W.; Malaspina, Osmar								Effects of Nosema ceranae and thiametoxam in Apis mellifera: A comparative study in Africanized and Carniolan honey bees								CHEMOSPHERE				147				328	336		10.1016/j.chemosphere.2015.12.030			MAR 2016	2016										10							WOS:000370836100042		
J	Carrillo-Tripp, Jimena; Dolezal, Adam G.; Goblirsch, Michael J.; Miller, W. Allen; Toth, Amy L.; Bonning, Bryony C.								In vivo and in vitro infection dynamics of honey bee viruses								SCIENTIFIC REPORTS				6						22265	10.1038/srep22265			FEB 29 2016	2016										14							WOS:000371109200001		
J	Supowit, Samuel D.; Roll, Isaac B.; Dang, Viet D.; Kroll, Kevin J.; Denslow, Nancy D.; Halden, Rolf U.								Active Sampling Device for Determining Pollutants in Surface and Pore Water - the In Situ Sampler for Biphasic Water Monitoring								SCIENTIFIC REPORTS				6						21886	10.1038/srep21886			FEB 24 2016	2016										5							WOS:000370747600001		
J	Reetz, J. E.; Schulz, W.; Seitz, W.; Spiteller, M.; Zuehlke, S.; Armbruster, W.; Wallner, K.								Uptake of Neonicotinoid Insecticides by Water-Foraging Honey Bees (Hymenoptera: Apidae) Through Guttation Fluid of Winter Oilseed Rape								JOURNAL OF ECONOMIC ENTOMOLOGY				109	1			31	40		10.1093/jee/tov287			FEB 2016	2016										10							WOS:000370273800004		
J	Berenbaum, May R.								Does the Honey Bee "Risk Cup" Runneth Over? Estimating Aggregate Exposures for Assessing Pesticide Risks to Honey Bees in Agroecosystems								JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY				64	1			13	20		10.1021/acs.jafc.5b01067			JAN 13 2016	2016										11							WOS:000368322900004		
J	Schowalter, Timothy D.	Schowalter, TD							Pollination, Seed Predation, and Seed Dispersal								INSECT ECOLOGY: AN ECOSYSTEM APPROACH, 4TH EDITION								445	476		10.1016/B978-0-12-803033-2.00013-3			2016	2016										0							WOS:000416043500018		
J	Ostroverkhova, Nadezhda V.; Konusova, Olga L.; Kucher, Aksana N.; Sharakhov, Igor V.								A Comprehensive Characterization of the Honeybees in Siberia (Russia)								BEEKEEPING AND BEE CONSERVATION - ADVANCES IN RESEARCH								1	37		10.5772/62395			2016	2016										2							WOS:000403810900002		
J	Ha Thi Thu; Nguyen Thi Kim Lien; Mai Thuy Linh; Thanh Hoa Le; Nguyen Thi Hoa; Pham Hong Thai; Reddy, Kondreddy Eswar; Yoo, Mi Sun; Kim, Young-Ha; Cho, Yun Sang; Kang, Seung Won; Dong Van Quyen								Prevalence of bee viruses among Apis cerana populations in Vietnam								JOURNAL OF APICULTURAL RESEARCH				55	5			379	385		10.1080/00218839.2016.1251193			2016	2016										1							WOS:000390325700004		
J	Bassford, M.; Painter, B.			IEEE					Intelligent Bio-Environments: Exploring Fuzzy Logic Approaches to the Honeybee Crisis								International Conference on Intelligent Environments								202	205		10.1109/IE.2016.45			2016	2016						12th International Conference on Intelligent Environments (IE)	SEP 12-16, 2016	IEEE Comp Soc; Middlesex Univ London; Kingston Univ; Queen Mary Univ London; IEEE Syst Man & Cybernet Soc; AAAI; BCS; IOS Press	London, ENGLAND	0							WOS:000389831700036		
J	Pacini, Adriana; Giacobino, Agostina; Molineri, Ana; Bulacio Cagnolo, Natalia; Aignasse, Andrea; Zago, Luis; Mira, Anabela; Izaguirre, Mercedes; Schnittger, Leonhard; Merke, Julieta; Orellano, Emanuel; Bertozzi, Ezequiel; Pietronave, Hernan; Signorini, Marcelo								Risk factors associated with the abundance of Nosema spp. in apiaries located in temperate and subtropical conditions after honey harvest								JOURNAL OF APICULTURAL RESEARCH				55	4			342	350		10.1080/00218839.2016.1245396			2016	2016										2							WOS:000388916000008		
J	Blazyte-Cereskiene, Laima; Skrodenyte-Arbaciauskiene, Vesta; Radziute, Sandra; Cepulyte-Rakauskiene, Rasa; Apsegaite, Violeta; Buda, Vincas								A three-year survey of honey bee viruses in Lithuania								JOURNAL OF APICULTURAL RESEARCH				55	2			176	184		10.1080/00218839.2016.1211389			2016	2016										0							WOS:000385237000006		
J	Roelandt, Sophie; Meroc, Estelle; Riocreux, Flavien; de Graaf, Dirk C.; Nguyen, Kim Bach; Brunain, Marleen; Verhoeven, Benedicte; Dispas, Marc; Roels, Stefan; Van der Stede, Yves								Belgian honey bee winter mortality during 2012-2013: a case-control study and spatial analysis								JOURNAL OF APICULTURAL RESEARCH				55	1			19	28		10.1080/00218839.2016.1201945			2016	2016										0							WOS:000382966500003		
J	Seitz, Nicola; Traynor, Kirsten S.; Steinhauer, Nathalie; Rennich, Karen; Wilson, Michael E.; Ellis, James D.; Rose, Robyn; Tarpy, David R.; Sagili, Ramesh R.; Caron, Dewey M.; Delaplane, Keith S.; Rangel, Juliana; Lee, Kathleen; Baylis, Kathy; Wilkes, James T.; Skinner, John A.; Pettis, Jeffery S.; vanEngelsdorp, Dennis								A national survey of managed honey bee 2014-2015 annual colony losses in the USA								JOURNAL OF APICULTURAL RESEARCH				54	4			292	304		10.1080/00218839.2016.1153294			2016	2016										47							WOS:000379362300002		
J	Pacifico-da-Silva, Idalecio; Melo, Marilia Martins; Soto-Blanco, Benito								Toxic effects of pesticides to bees								BRAZILIAN JOURNAL OF HYGIENE AND ANIMAL SANITY				10	1			142	157		10.5935/1981-2965.20160013			2016	2016										0							WOS:000377810000013		
J	Piechowicz, Bartosz; Grodzicki, Przemyslaw; Stawarczyk, Kinga; Piechowicz, Iwona; Stawarczyk, Michal; Zwolak, Aneta								Circadian and Seasonal Changes in Honeybee (Apis Mellifera) Worker Susceptibility to Pyrethroids								POLISH JOURNAL OF ENVIRONMENTAL STUDIES				25	3			1177	1185		10.15244/pjoes/61635			2016	2016										4							WOS:000377240700027		
J	Asraf, Sheik Abduk Kader Sheik								GUT MICROBIOME OF HONEY BEE - AN INDUSTRIALLY RELEVANT POLLINATOR								IIOAB JOURNAL				7	1			21	27					JAN-MAR 2016	2016										1							WOS:000376372800003		
J	Natsopoulou, Myrsini E.; Doublet, Vincent; Paxton, Robert J.								European isolates of the Microsporidia Nosema apis and Nosema ceranae have similar virulence in laboratory tests on European worker honey bees								APIDOLOGIE				47	1			57	65		10.1007/s13592-015-0375-9			JAN 2016	2016										7							WOS:000371162900006		
J	Lu, Chensheng (Alex); Chang, Chi-Hsuan; Tao, Lin; Chen, Mei								Distributions of neonicotinoid insecticides in the Commonwealth of Massachusetts: a temporal and spatial variation analysis for pollen and honey samples								ENVIRONMENTAL CHEMISTRY				13	1			4	11		10.1071/EN15064			2016	2016										6							WOS:000367596000002		
J	Chopra, Shauhrat S.; Bakshi, Bhavik R.; Khanna, Vikas								Economic Dependence of US Industrial Sectors on Animal-Mediated Pollination Service								ENVIRONMENTAL SCIENCE & TECHNOLOGY				49	24			14441	14451		10.1021/acs.est.5b03788			DEC 15 2015	2015										4							WOS:000366872300065		
